index,Open,Close,High,Low,ATR,EMA_fast,EMA_slow,RSI,BBL_15_1.5,BBM_15_1.5,BBU_15_1.5,BBB_15_1.5,BBP_15_1.5,EMASignal,TotalSignal
0,175.72,178.67,178.67,175.09,,,,,,,,,,0,0
1,174.34,176.08,176.605,173.03,,,,,,,,,,0,0
2,175.57,173.72,177.71,173.52,,,,,,,,,,0,0
3,171.17,172.62,172.62,170.285,,,,,,,,,,0,0
4,172.91,173.0,174.3078,172.05,,,,,,,,,,0,0
5,172.77,171.13,173.185,170.76,,,,,,,,,,0,0
6,173.15,173.23,174.03,171.01,,,,,,,,,,0,0
7,172.94,172.75,174.38,172.05,3.328257142857138,,,,,,,,,0,0
8,169.0,170.73,173.7,168.94,3.532791836734688,,,,,,,,,0,0
9,169.15,169.0,170.73,168.49,3.34810728862973,,,,,,,,,0,0
10,171.06,169.12,171.24,168.68,3.2355205331111976,,,17.627118644067796,,,,,,0,0
11,170.76,170.12,172.04,169.62,3.1904461712381678,,,23.397548161120845,,,,,,0,0
12,176.15,175.1,176.9,173.79,3.703239575347001,,,44.79596129575095,,,,,,0,0
13,179.55,179.66,180.53,177.38,3.949919636011716,,,57.013067375241164,,,,,,0,0
14,181.27,180.75,182.57,179.53,3.8199311165814698,,,59.39949399710458,168.35052576244038,173.712,179.0734742375596,6.172831166021467,1.1563493255917905,0,0
15,182.51,181.42,183.12,180.13,3.701369528498404,,,60.88265005202186,168.07343450219548,173.89533333333333,179.71723216447117,6.695865518113782,1.1462381849047028,0,0
16,181.1,182.63,183.9225,179.56,3.795816738712919,,,63.55424384739816,167.68416381068124,174.332,180.97983618931875,7.626639044258946,1.1241128514367285,0,0
17,182.24,181.16,182.76,180.65,3.554985776039643,,,58.18965730975507,167.71623186542195,174.828,181.93976813457806,8.135731272539932,0.9451776182925059,0,0
18,185.01,182.52,185.04,182.23,3.60141637946255,,,61.52789115789778,167.8892576040503,175.488,183.0867423959497,8.660127639439391,0.9627081452154652,0,0
19,183.48,184.37,184.955,182.46,3.4433568966821864,,,65.67064376365607,168.03910753086174,176.246,184.45289246913828,9.312997139382757,0.9949498260486545,0,0
20,181.94,182.32,182.8888,180.66,3.4814487685847326,,,57.98315533953695,168.76345662951223,176.99200000000002,185.2205433704878,9.298209377246184,0.823751103938347,0,0
21,181.79,181.56,182.43,180.0,3.3312418016440577,,,55.315807351549,169.29978012040988,177.54733333333334,185.7948865462568,9.290540227308545,0.7432640665099943,0,0
22,183.42,182.31,184.85,181.665,3.3253501156949055,,,57.46148896258521,169.99574207304545,178.18466666666666,186.37359126028787,9.191503115069246,0.7518849261688639,0,0
23,183.55,183.86,184.49,181.35,3.298871527738492,,,61.68617816208699,171.19678691627917,179.06,186.92321308372084,8.782768997789384,0.8052187413016584,0,0
24,185.32,184.15,185.53,182.44,3.2690327380615654,,,62.4612047487344,173.1244568246985,180.07000000000002,187.01554317530153,7.714270200812471,0.7937135294550142,0,0
25,185.77,185.04,186.21,183.5128,3.1873423469099147,,,64.88347271724952,175.52545552517668,181.13133333333334,186.73721114149,6.189848774358932,0.8486221784017001,0,0
26,188.415,187.15,188.67,186.79,3.2505791544942118,,,69.98530050095059,178.29528277689204,182.2666666666667,186.23805055644138,4.3577731050929085,1.1148150706239544,0,0
27,188.65,188.85,189.99,188.0,3.1919249895664676,,,73.43969017313874,179.62269574998146,183.18333333333337,186.74397091668527,3.8875126012394556,1.295737636029241,0,0
28,189.385,188.32,189.535,187.35,3.0480785624855438,,,70.62406725995814,180.01581633588376,183.7606666666667,187.50551699744966,4.075790971716419,1.1087470700571422,0,0
29,190.64,189.41,191.05,188.61,3.0026387678447546,179.02499999999998,,72.99037051085938,180.25124382915217,184.33800000000005,188.42475617084793,4.433981241901156,1.1205410584781303,0,0
30,186.86,189.3,189.31,186.7695,2.9509046581526475,179.68790322580642,,72.33699496449758,180.5625613096185,184.86333333333337,189.16410535704824,4.652920561548029,1.015798866134084,0,0
31,188.15,187.68,189.25,185.84,3.0236325641308417,180.2035223725286,,63.094882223259496,180.87755971701367,185.20000000000002,189.52244028298637,4.667862076659124,0.7868749870023157,0,0
32,179.86,185.85,187.33,179.25,3.7959707692550078,180.5678112517203,,54.37512085711461,181.50284572303448,185.5126666666667,189.5224876102989,4.322961893310652,0.5420633911183749,0,0
33,183.985,186.86,186.95,183.82,3.7008320879328633,180.97375891289963,,57.93971774160534,181.95242911482805,185.80200000000005,189.65157088517205,4.14373460476421,0.6374179137829661,0,0
34,187.04,184.4,187.095,184.35,3.564284646799598,181.19480672497062,,47.827284961910756,181.95608705920355,185.80400000000006,189.65191294079656,4.141905385025622,0.31756344002556486,0,0
35,190.94,188.04,191.8,187.47,4.112243982971085,181.63643209755315,,59.460118521830516,182.52357610490418,186.18533333333338,189.84709056176257,3.9334540082955276,0.7532481744375806,0,0
36,192.01,191.73,192.2,189.58,4.119066271118073,182.28763002674327,,67.59777545569708,183.15164638533318,186.86333333333337,190.57502028133356,3.9726220032467845,1.1555868982011956,0,0
37,194.27,192.42,194.76,191.94,3.963485375244063,182.94133131534048,,68.89503488488312,183.75896675504373,187.53733333333338,191.31569991162303,4.029455374172234,1.1461345882533243,0,0
38,195.22,194.17,196.2675,193.1125,3.9469160359234863,183.66576155306043,,72.04860143382228,184.00761603856702,188.2246666666667,192.4417172947664,4.480869274767052,1.2049160488751836,0,0
39,195.42,194.5,196.38,194.34,3.698785173648704,184.36474467866944,,72.63000852650106,184.4281506464173,188.9146666666667,193.40118268691612,4.749780521981082,1.1224577498580737,0,0
40,195.02,195.18,195.75,193.8299,3.4446872916988878,185.06250308649723,,73.8742317850008,184.82235103114513,189.5906666666667,194.35898230218825,5.030116428574078,1.0860909554409093,0,0
41,192.3,193.89,195.33,192.26,3.391160535741907,185.63201901640065,,67.41448950411075,185.1245478336205,190.04000000000002,194.95545216637953,5.173071107534739,0.8916221610631291,0,0
42,189.33,191.56,191.95,188.82,3.6309947449216335,186.01446940243932,,57.350244730883695,185.29904356041877,190.2206666666667,195.1422897729146,5.174646049235366,0.6360662229126254,0,0
43,186.09,188.63,189.14,185.83,3.930852638504256,186.18321331195935,,47.45212323982172,185.33632915393122,190.24133333333336,195.1463375127355,5.156612491574359,0.3357459775365814,0,0
44,181.27,182.68,182.93,180.3,4.559302261575074,185.95719954989747,,34.15233464324173,184.1288751803953,189.7926666666667,195.45645815293807,5.96839865917339,-0.12790682565797787,0,0
45,182.16,183.63,184.26,180.934,4.383116224207206,185.80705764345248,,37.27136126330171,183.29768979896653,189.41466666666668,195.53164353436682,6.458820718951872,0.02716294406704261,0,0
46,186.06,185.92,186.74,185.19,4.201242477891893,185.8143442471007,,44.33358280904967,183.07102029912707,189.29733333333337,195.52364636753967,6.578342044832079,0.22878545338317471,0,0
47,186.54,185.59,187.05,183.62,4.091064981050195,185.7998704247071,,43.54855476914104,183.031373750981,189.28000000000006,195.5286262490191,6.602521395835854,0.2047351007287936,0,0
48,184.35,186.19,186.4,183.92,3.86091284090017,185.82504007472602,,45.498210377039015,182.9429096349533,189.2353333333334,195.52775703171346,6.650368710262081,0.25801587120417685,0,0
