Open,Close,High,Low,ATR,EMA_fast,EMA_slow,RSI
175.72,178.67,178.67,175.09,,,,
174.34,176.08,176.605,173.03,,,,
175.57,173.72,177.71,173.52,,,,
171.17,172.62,172.62,170.285,,,,
172.91,173.0,174.3078,172.05,,,,
172.77,171.13,173.185,170.76,,,,
173.15,173.23,174.03,171.01,,,,
172.94,172.75,174.38,172.05,3.328257142857138,,,
169.0,170.73,173.7,168.94,3.532791836734688,,,
169.15,169.0,170.73,168.49,3.34810728862973,173.09300000000002,,
171.06,169.12,171.24,168.68,3.2355205331111976,172.37063636363638,,17.627118644067796
170.76,170.12,172.04,169.62,3.1904461712381678,171.96142975206612,,23.397548161120845
176.15,175.1,176.9,173.79,3.703239575347001,172.5320788880541,,44.79596129575095
179.55,179.66,180.53,177.38,3.949919636011716,173.82806454477154,,57.013067375241164
181.27,180.75,182.57,179.53,3.8199311165814698,175.086598263904,,59.39949399710458
182.51,181.42,183.12,180.13,3.701369528498404,176.2381258522851,,60.88265005202186
181.1,182.63,183.9225,179.56,3.795816738712919,177.40028478823325,,63.55424384739816
182.24,181.16,182.76,180.65,3.554985776039643,178.08386937219083,,58.18965730975507
185.01,182.52,185.04,182.23,3.60141637946255,178.89043857724704,,61.52789115789778
183.48,184.37,184.955,182.46,3.4433568966821864,179.88672247229303,175.88899999999998,65.67064376365607
181.94,182.32,182.8888,180.66,3.4814487685847326,180.32913656823976,176.0715,57.98315533953695
181.79,181.56,182.43,180.0,3.3312418016440577,180.5529299194689,176.3455,55.315807351549
183.42,182.31,184.85,181.665,3.3253501156949055,180.8723972068382,176.775,57.46148896258521
183.55,183.86,184.49,181.35,3.298871527738492,181.41559771468582,177.33700000000002,61.68617816208699
185.32,184.15,185.53,182.44,3.2690327380615654,181.91276176656112,177.89450000000002,62.4612047487344
185.77,185.04,186.21,183.5128,3.1873423469099147,182.4813505362773,178.59,64.88347271724952
188.415,187.15,188.67,186.79,3.2505791544942118,183.33019589331778,179.286,69.98530050095059
188.65,188.85,189.99,188.0,3.1919249895664676,184.33379663998727,180.091,73.43969017313874
189.385,188.32,189.535,187.35,3.0480785624855438,185.0585608872623,180.97050000000002,70.62406725995814
190.64,189.41,191.05,188.61,3.0026387678447546,185.84973163503278,181.991,72.99037051085938
186.86,189.3,189.31,186.7695,2.9509046581526475,186.47705315593592,183.00000000000003,72.33699496449758
188.15,187.68,189.25,185.84,3.0236325641308417,186.69577076394756,183.87800000000001,63.094882223259496
179.86,185.85,187.33,179.25,3.7959707692550078,186.54199426141165,184.4155,54.37512085711461
183.985,186.86,186.95,183.82,3.7008320879328633,186.59981348660952,184.77550000000002,57.93971774160534
187.04,184.4,187.095,184.35,3.564284646799598,186.19984739813506,184.95800000000003,47.827284961910756
190.94,188.04,191.8,187.47,4.112243982971085,186.53442059847413,185.28900000000004,59.460118521830516
192.01,191.73,192.2,189.58,4.119066271118073,187.47907139875156,185.74400000000003,67.59777545569708
194.27,192.42,194.76,191.94,3.963485375244063,188.377422053524,186.30700000000004,68.89503488488312
195.22,194.17,196.2675,193.1125,3.9469160359234863,189.43061804379235,186.88950000000006,72.04860143382228
195.42,194.5,196.38,194.34,3.698785173648704,190.35232385401193,187.39600000000004,72.63000852650106
195.02,195.18,195.75,193.8299,3.4446872916988878,191.2300831532825,188.03900000000004,73.8742317850008
192.3,193.89,195.33,192.26,3.391160535741907,191.7137043981402,188.65550000000002,67.41448950411075
189.33,191.56,191.95,188.82,3.6309947449216335,191.6857581439329,189.11800000000002,57.350244730883695
186.09,188.63,189.14,185.83,3.930852638504256,191.13016575412692,189.35650000000004,47.45212323982172
181.27,182.68,182.93,180.3,4.559302261575074,189.5937719806493,189.28300000000002,34.15233464324173
182.16,183.63,184.26,180.934,4.383116224207206,188.50944980234942,189.21250000000003,37.27136126330171
186.06,185.92,186.74,185.19,4.201242477891893,188.0386407473768,189.151,44.33358280904967
186.54,185.59,187.05,183.62,4.091064981050195,187.59343333876285,188.98800000000003,43.54855476914104
184.35,186.19,186.4,183.92,3.86091284090017,187.33826364080596,188.88150000000002,45.498210377039015
183.92,185.14,185.15,182.73,3.8036395779144323,186.9385793424776,188.66800000000003,42.63505321885981
182.085,185.56,185.6,181.5,3.845976781069513,186.68792855293623,188.48100000000002,44.19580976442583
181.99,181.18,182.76,180.17,4.066551526631013,185.68648699785692,188.156,33.60229973564085
182.15,181.91,183.0872,180.88,3.80092987996944,184.99985299824658,187.959,36.42429457016016
184.22,184.25,185.88,183.43,3.82508275425952,184.86351608947447,187.82850000000002,44.78279024112653
187.15,185.64,188.44,183.885,3.929356646508161,185.00469498229728,187.8905,49.191670310999335
193.9,192.53,194.4,191.725,4.619448554149855,186.37293225824322,188.115,64.71055655246798
194.14,193.58,194.66,193.17,4.263813046414161,187.68330821128993,188.2075,66.44595073538194
192.49,193.15,193.5,191.09,4.010411182640711,188.67725217287358,188.244,64.99167189726693
193.61,193.05,193.89,192.83,3.588923870834891,189.4722972323511,188.18800000000002,64.62618089357935
195.18,193.6,195.41,192.97,3.4247918892870493,190.2227886446509,188.143,65.80147494537952
196.1,194.68,197.08,193.5,3.446964476531758,191.03319070925983,188.118,68.11299107098301
196.9,194.83,197.68,194.83,3.383112408455793,191.72351967121259,188.16500000000002,68.4421622363383
196.16,196.94,196.95,195.89,3.2026677786763904,192.67197064008303,188.43400000000003,72.8264849108732
196.09,195.89,196.63,194.39,3.1094295245797645,193.25706688734067,188.797,67.63122967624516
197.53,197.57,198.3999,197.0,3.0237824496398003,194.04123654418783,189.5415,71.27428570064589
198.02,198.11,199.62,196.16,3.0860992425484013,194.78101171797186,190.26550000000003,72.38432236102982
195.09,197.96,198.0,194.85,3.110942207898632,195.35900958743153,190.8675,71.53118901124303
193.08,194.71,194.72,191.721,3.557807606770257,195.24100784426216,191.32350000000002,55.72089114258279
193.11,193.18,193.49,191.42,3.5195493772316517,194.8662791453054,191.673,49.94639237311614
194.2,195.71,195.99,193.67,3.418185180484273,195.01968293706807,192.2015,57.9525244023833
193.63,194.27,195.0,193.59,3.2327301547008065,194.88337694851023,192.637,52.62885869750902
194.45,192.32,194.76,192.11,3.1494829897435452,194.41730841241747,193.19400000000002,46.237898470048464
190.21,193.42,194.4,190.18,3.302413991208753,194.23597961015975,193.76950000000005,50.040459250782476
189.98,189.43,190.05,187.4511,3.6833405638932155,193.36216513558526,194.02850000000004,38.94014660149009
190.33,191.24,191.56,189.23,3.490006197622758,192.9763169291152,194.30850000000004,45.08063100778808
189.84,189.95,190.32,188.19,3.4271481693909367,192.4260774874579,194.17950000000002,41.7553551201399
190.9,189.37,192.09,188.97,3.3832698594779465,191.87042703519282,193.96900000000002,40.27136891731373
189.78,190.4,191.08,189.4,3.1442313081239552,191.60307666515777,193.83150000000003,44.18546695146217
189.92,189.79,190.67,188.9,2.94791254982053,191.2734263624018,193.66850000000002,42.35886646768269
190.87,189.97,190.9,189.25,2.762496471274741,191.03643975105604,193.48700000000002,43.12968108833358
191.49,191.31,192.93,190.825,2.7907112610926363,191.08617797813676,193.31850000000003,48.79376947450623
191.41,190.64,191.52,189.74,2.646323938079403,191.0050547093846,193.109,46.23549373326048
189.89,191.45,191.905,189.88,2.5575633754966316,191.08595385313285,192.8345,49.77292931252276
190.25,189.69,190.38,188.57,2.603625750425684,190.83214406165416,192.52450000000002,42.950402443886176
189.57,189.71,190.96,188.65,2.5616792146505865,190.62811786862613,192.13150000000002,43.04896874619771
187.845,188.01,189.5,187.78,2.4714393268433605,190.15209643796683,191.6265,37.00989720563657
187.7,187.44,188.11,186.3,2.3769479944371668,189.65898799470014,191.10049999999998,35.171731753948606
185.82,184.8,186.03,184.21,2.498812566660427,188.77553563202738,190.605,28.01199148521852
183.97,186.4,186.565,183.53,2.575410771423223,188.34362006256785,190.26600000000002,36.6905149669969
182.96,182.41,184.12,181.81,2.8632092326484773,187.26478005119188,189.601,27.50334733669761
182.35,182.89,183.45,181.59,2.719893627984407,186.4693654964297,189.03199999999998,29.851216069630194
179.18,181.82,182.44,178.97,2.891337395415204,185.62402631526066,188.507,27.634512143515266
176.38,179.23,179.43,176.21,3.2797177674987443,184.46147607612235,187.79749999999999,23.034156099747456
174.24,176.65,176.82,173.35,3.6511866578560657,183.04120769864556,187.1585,19.450350056326464
175.52,177.57,177.78,175.46,3.461017135305198,182.0464426625282,186.47500000000002,24.12750918039284
171.0,173.97,174.23,170.12,4.030871830261597,180.5779985420685,185.67600000000002,19.264112822641707
169.35,170.77,170.9,167.9,4.322175854509939,178.79472607987424,184.74600000000004,16.065716712828333
169.02,170.29,171.17,168.87,4.033293589579945,177.24841224716982,183.74050000000003,15.63312539726334
166.91,168.22,168.96,166.83,3.9513945053542363,175.6068827476844,182.662,13.846606403771716
170.37,166.89,171.3775,165.67,4.202266718875061,174.02199497537816,181.508,12.802165104841432
171.88,171.1,173.06,170.65,4.4833714733214824,173.49072316167303,180.4975,31.084961985409855
173.05,173.44,173.67,171.45,4.210032691418412,173.48150076864158,179.63750000000002,38.98557367680423
170.91,173.0,174.01,169.93,4.191456592644351,173.39395517434312,178.71500000000003,38.07363554631563
175.31,172.88,175.42,172.64,3.9898199365523013,173.300508779008,177.87450000000004,37.80565438450744
176.04,175.46,177.84,175.19,4.128417088473403,173.6931435464611,177.16200000000003,46.7578833323115
175.58,175.84,177.575,175.11,3.8907860758343418,174.08348108346817,176.55350000000004,47.98319159097607
176.645,177.15,178.42,174.8,3.8521023507151466,174.64102997738306,176.03900000000004,52.19713914478844
176.75,178.72,179.075,176.51,3.6682305863272684,175.38266089058612,175.735,56.85185719048182
181.42,178.85,181.93,178.14,3.685626216851947,176.01308618320684,175.35750000000002,57.23497243855613
180.07,180.71,182.34,179.04,3.6576796144445276,176.86707051353287,175.2725,62.52476644830461
178.2,179.8,179.85,177.6,3.579439669523883,177.40033042016324,175.11800000000002,58.58540883360125
178.1,178.39,179.72,177.95,3.332376859591903,177.5802703437699,174.94650000000001,52.85251143360241
176.81,178.99,179.05,175.8,3.3206087367930595,177.83658482672084,174.9345,54.93743547232015
